fheight	sheight
165.2	151.8
160.7	160.6
165	160.9
167	159.5
155.3	163.3
160.1	163.2
166	162.8
164.4	162.5
167.8	164.1
170.1	162.5
149.9	165.7
159.8	166
161.7	166.8
162.7	166.2
164.3	165.8
165.5	164.6
168.6	165.1
166.6	166.5
171.1	165.3
169.6	166.3
172.2	165.4
176.6	166.4
158.9	169.1
162.1	168.6
163.7	168
165	167.6
164.4	167.5
167	168.8
166.4	167
166.5	167.6
169.9	167.4
169.1	167.4
169	168.8
172.5	167
173.5	168.5
172.1	167.9
173.9	168.4
176.2	168.5
182.4	168.7
158.5	170.8
163.8	171.4
163.8	170.2
162.4	169.6
166.2	170.3
165.2	169.8
166.8	176
174.4	175.5
169	156.6
164.7	167
176.8	175.2
164.6	171.1
165.9	170.6
167.2	170.4
167.2	170.9
166.5	171.8
167.3	171.4
167.1	170
170.4	171.7
169.2	170.7
171.2	169.7
170.9	170.8
169.2	171.5
173.2	171.6
172.2	170.6
173.5	171.6
172.9	171.1
175.2	171.7
175.1	170.8
176.8	169.7
178.7	169.5
177.8	170
184.8	171.8
159.6	172.8
159.7	174
162.3	172.8
163.9	173.6
163.9	173.6
167.7	173.5
167.2	173.2
167.7	174
166.5	173
167	173.5
169.6	172.8
169.4	174.3
170.1	172.6
170	172.9
169.8	173.7
170.5	172.3
172.1	173.2
173.4	172.8
171.7	173.3
173.9	172.5
171.9	174.3
174.5	172.7
176.1	173.4
174.6	172.6
175.6	174.3
176.1	173.3
174.3	174.2
176.7	172.9
178.8	173.7
180.8	172.1
179.9	174.2
182	172.5
186.1	172.3
160.1	174.7
161.7	176.8
166.1	177
164.1	176.3
168.7	177
167.1	175.8
166.8	176.4
167.8	176.8
169	176
169.1	176.6
169.3	174.6
172	176
174	175.8
172.3	175.9
171.6	176.5
172.9	175.6
175.7	175.1
174.5	176.4
174.3	176
174.4	175.8
174.3	174.5
178.7	176.1
177.8	174.9
178.2	176
178.3	175.7
181.1	176.9
180.1	175.5
183.4	175.5
190.4	175.3
164.8	177.4
166.5	178
166.8	177.5
167.5	178.5
167.5	179.1
171.3	179.1
171.4	177.3
171.7	178.7
173.9	177.7
174	177.4
173	179.6
176.5	178.2
175.4	178.1
176.3	177.7
176.4	178.6
176.6	177.3
178.2	177.7
177.5	177.6
178.9	177.1
180	178
181.1	177.8
183.2	179.5
183.4	177.8
191.6	178
163.9	181.2
168.6	179.9
166.5	181.5
169.6	180.8
170	182
173.2	181.3
171.5	179.7
172.3	181
175.1	180.5
175.9	181
174.6	180.1
177.1	181.1
178.6	181.8
177.9	180.8
178.4	180.4
180	181.3
180.8	182
183.8	180.6
185.5	180.1
190	182
171.2	183.9
171	182.6
172.2	183.8
176.1	183.3
174.6	184.2
177.8	182.9
177.2	183.8
179.5	184
180.6	183.6
184.1	182.8
184.1	183.3
171.5	184.9
173.3	185.5
174.8	185.1
177.5	185.9
181.6	187
179.7	185.1
182.7	185.9
160.2	188.8
173.3	189
177.9	187.4
179.9	187.8
184.3	187.3
172.6	191.9
171.6	192.3
184.9	196.1
159.2	155.7
173.2	188.7
165.3	180.2
186.5	191.4
159.9	156.9
158.8	162.6
177.6	158.7
180.5	187.2
180.6	168.5
176.5	158
178.3	166.2
166.3	162.5
157.6	159.5
161.5	161.4
166.6	161.3
172.8	159.8
157	161.9
162	161.9
164.8	163.6
167.1	161.8
168.7	163.7
174.8	163.3
156.9	165.6
163.3	165.4
161.8	166.5
165.1	165
166	165.5
164.6	165.5
166.9	166.6
167.7	166.7
170.3	164.8
172.1	166.2
175.4	164.4
157.9	167.2
159.4	167.1
162.3	169.4
166.1	169
164.1	168.7
166.7	168.5
168.1	168.3
167.6	168.6
167.1	169.4
171.3	168.2
170.5	168.7
171	169.3
172.4	167.1
173.5	168.2
172.6	168.4
174.5	167.2
180.8	168.5
158.6	169.9
159.7	169.7
162.7	171.1
162.3	171.9
164.7	170.7
166.1	170.9
164.5	171.3
174.4	175.2
165.6	157.5
163.4	162.8
167.9	167.7
175.3	167.1
163.8	170
167.8	169.7
167	170.2
168.8	171.3
166.7	169.8
168.6	170.8
171	171.5
169.8	170.6
169.4	171.7
171.1	169.9
171.1	169.5
172.6	170.6
172.1	170.8
173	169.6
173.4	169.7
174.8	171.4
176.3	170.5
176.1	170.3
179	170
178	171.6
179.4	169.8
158.5	172
160.4	172.4
161.3	174.4
162.3	174.2
164.1	173.9
164.7	173.8
167.4	173.9
168.1	173.7
168.8	172.5
166.4	173.5
169.9	172.7
170.4	173.2
169.8	174.2
170.6	174.2
169	172.3
170.1	172.4
169.3	173.3
173.2	172.8
171.7	172.3
173.4	172.2
172.7	174.2
175.3	172.9
176.1	172.4
175	173.9
175.1	174.2
176.3	172.9
176.5	172.9
178.7	172
177.6	173.8
179.6	174.2
179.2	173.4
183.9	172.9
184.1	173.8
159.3	176.2
162.3	175.3
163.8	176.2
164.6	175
166.1	176.2
167.2	176.1
168.4	175.2
167.2	176.8
169.7	175.9
170.6	177
171	175
171.6	175.4
172.4	175.3
173.6	175.7
171.7	176.9
173.9	174.8
174.2	175.9
175.4	175.5
174.2	175.2
175.7	176.1
174.3	175.8
174.1	175.1
176.9	176.2
178.9	174.5
177.7	174.6
178.5	176.2
181.1	176.3
181.1	176.6
184.4	175.8
163.6	177.7
164.9	177.6
168.5	177.8
167.7	177.1
166.9	177.4
169.5	177.6
169.3	178.6
173.6	177.4
172.6	177.7
172.6	178.5
173.4	179.5
174.6	178.8
175.4	178.8
175.3	179.3
176.3	178.2
177.2	177.4
176.9	178.4
179	178.5
177.5	178.7
180.3	177.3
180.9	179.2
181.5	177.7
181.9	177.1
185.9	177.4
162.3	180
167.6	181.3
167.7	180.8
171.4	179.7
169.4	179.7
173.4	181.2
172	180.1
173.4	180.1
173.7	180
175.6	180.8
175.5	181.2
177.1	180.9
177.8	181.3
176.7	181.9
177.7	180.3
180.1	180.8
179.4	181.4
183.6	181.3
181.6	180.1
185.5	181
168.2	183.1
170.8	183
172.2	182.9
175.5	182.2
176.2	182.7
176.8	183.4
178	183.6
178.3	184.4
181	183
183.1	182.4
183.7	182.4
170.4	185.6
172.4	186.6
175.4	185.9
176.8	186.4
177.1	186
179.2	185.1
183.9	184.9
184.9	186.1
173	187.9
174.3	189.6
181.1	187.8
183.1	189.5
189.7	188.7
180.8	190.8
173.5	196
153.5	154.4
162.4	158.4
160.2	168.7
162.5	148.6
187.7	177.8
183	180.3
155	165
166.1	179
182.8	175.9
181.1	164.9
165.5	174.7
175	177.4
163.7	158.8
162.5	160.8
168.8	161.4
170.5	159.7
158.2	162.4
162.2	163.4
166.2	163.1
166.7	164.1
168.1	163.3
171.8	162
152.9	166.8
160	164.6
161.5	166.7
165.5	164.5
165.4	164.6
164.6	165.4
168.3	166.5
168.2	165.9
169.2	165.5
172.7	165.3
175.4	164.6
157.8	167.5
160.4	168.6
163.7	168.6
161.9	168.5
164.2	167.2
164.1	167.9
167.8	168.9
167.6	168.5
166.8	169.2
170.5	167.7
171	168.8
170.6	167.7
173.7	168.8
171.8	168.6
171.6	168.5
174.1	168.4
177.9	169.2
155.1	169.7
159.3	171.5
163.3	170.6
162.8	169.6
161.8	170.8
164.3	169.6
164.3	169.9
172.6	173
164.1	161.6
167.8	160.5
165.7	166.8
177	170.8
166	171.2
166.5	171.7
167.9	170.7
168.2	170.4
167.7	169.7
167.7	170.4
167.5	170
170.4	169.6
170.2	170.1
171.2	171.9
171.2	171.8
171	171.9
173.4	171
173.6	170.3
171.6	170.1
173.3	170.4
175.5	170.6
174.7	171.4
179	171.9
177.8	169.8
176.6	170.3
156.2	172
159.9	174.1
162.8	172.4
162.2	172.3
165.3	173.4
164.1	173.2
167.4	174.1
168.3	172.1
166.8	172.5
167.8	172
168.4	172.7
170.6	172.9
170	172.1
169.9	173
169.1	173.1
170.8	174.3
170.3	173.5
172.6	173.7
172.6	174.3
172.3	173.4
172.5	172.6
174.3	172
174.3	173.6
175.4	173.1
175.3	172.7
175.6	173.3
174.1	172.9
178.4	174
177.4	174.2
177.5	172.1
181.6	174.5
183.8	174.3
182.7	173.7
155	175.5
160	176.2
164	176.6
166.1	175.5
164.7	176.9
166.5	176.3
166.5	175.7
167.9	174.8
171.2	175.6
169.1	175.3
171.2	175.4
170.7	175.6
173.3	174.6
172.4	175.2
172.8	175.1
171.9	175.7
174.9	174.8
174.6	174.6
175.4	175.3
174.8	176
174.7	176.2
176.1	175
176.8	176.1
177.2	176.9
178.2	176.4
178.1	175.2
180.6	176.6
181.5	174.6
182.2	175.8
163.5	178.7
165.5	178.1
167.9	178.8
167.1	177.9
166.5	177.2
169.5	178.8
170.6	177.9
170.6	178.5
172.9	177.5
172.4	179.6
173.2	178.5
176	177.1
174.9	178.6
175.7	177.7
174.5	177.1
176.4	178.4
177.9	177.9
177	178.6
178.3	178.8
179.8	177.2
180	177.2
181.1	179.2
183.7	177.9
184.9	179.3
163.6	180.7
164.8	180.7
167.2	180.4
171.1	180.2
171.3	179.8
172.4	181.6
172.5	181.8
174	179.9
171.7	180.2
176.2	181.7
176.1	180.6
176.5	181.6
178.4	181.3
177.9	181.6
177.4	180.4
176.8	181.9
181.6	181.3
183.3	180.9
183.9	180.1
184.2	181.7
164.3	184
169.6	184.4
172.3	182.4
173.1	182.9
175.8	182.9
174.9	184
178.1	182.7
178.1	183.1
180.4	184.3
181.4	184.2
183	182.3
184.8	184.3
172.8	185.6
175.4	185.9
174.9	186.4
176.9	186.4
181	187.1
182.8	185
185.2	185.4
167.3	189.7
174	187.6
179.6	188.9
183.8	188
184.4	187.8
174.8	192.2
186.7	193.3
178	198.7
172.5	157.2
164.3	177.4
154.4	158.2
190.3	181.4
179.4	181.9
154.7	166.4
165.8	182.5
181.3	180.8
182	163.9
159.2	165.7
181.3	176.9
169.1	165.4
170.7	155
158.8	160.3
164.7	161.5
170	161.2
158.4	162.1
161.5	163
166.2	164.3
165.1	162.7
168.8	163.5
169.3	164.1
151.1	164.6
160	165.7
162.8	166.7
162.8	166.7
163.9	164.7
165.6	166.7
168.4	166.9
167.7	166.6
169.8	165.3
173.2	164.8
174.4	166.8
155.7	169
160.7	168.2
162.2	167.4
162.9	168.4
164.6	168.5
164	168.1
168.1	168
168.9	168.1
168.7	167.2
171	169.2
171.1	168.8
170.9	168.3
172	169
173.7	168.4
172.1	167.4
176	169.2
176.9	169.1
152.5	171
157.8	171.2
161.6	171.5
162.1	170
163.7	170.5
164.4	170.2
166.2	170
165.3	172.9
176	171.4
171.9	160
165	171.2
176.5	174.6
165.3	169.9
165.1	170.9
166.7	170.6
167.5	170.5
166.8	170.4
167.3	170.6
167.4	169.5
171.2	169.7
169	171.3
171.2	171.1
170.7	170.1
171	171.2
173	170
172.8	170
172.8	169.6
173.6	169.6
174.8	170.6
176.5	171.3
178.4	171.9
177.1	170.5
178.2	171.7
155.1	172.6
159.2	174.4
163.4	173.8
163.3	172.7
165	174.3
164.5	174
168.2	172.1
167.9	173
168.7	173.2
168.2	174.1
167.3	174.2
170.3	174.4
171.4	173.7
169.5	174.1
169.4	174.2
171	172.4
170.5	172.8
172.3	172.6
173.8	174.1
172.1	172.9
173	172.5
172	174.2
175.2	172.5
175.9	174.3
176	174.4
175.9	173.8
174.6	173.2
176.8	173.6
176.8	173.1
177.7	172.2
179.3	173.3
183.7	172.6
181.8	172.8
185.3	172.9
160.9	175.9
163.4	175.8
165.5	175
165.7	176.1
167.4	176.6
167.6	175.3
166.5	175.9
167.2	176.7
169.9	176.2
170.1	175.2
171.2	176.1
172.6	175.5
172.2	176
173.9	175.9
173.5	174.5
173.6	176.5
174.6	176.5
175.2	175
176.1	174.8
174.8	176.3
175	174.8
177.3	175.4
177	175.7
178.8	175.9
178.6	174.8
180.4	175.6
181.1	176.3
183	174.5
160.7	178.8
164.8	179.1
166.9	178.1
168	177.2
168.9	178.4
167.8	178.5
169.5	177.1
170.5	178.2
171.6	178.9
173.2	177.6
173.6	177.2
173.1	177.6
175.7	178.5
175.7	178.3
174.1	178.9
174.9	178.8
177	179.5
177.5	177.1
179	178.9
180.8	179.1
179.3	179
179.2	179.1
183.9	178.5
185.9	178.6
162.9	181.4
164.2	180.4
167	181.9
170.5	180.1
169.7	181.3
173.7	181.5
173.6	180.9
173.4	181.8
173.6	182
174.4	181.2
174.5	180.7
175.4	181.7
178.2	180.2
177.5	181.6
178.2	180
178.4	181.4
181.4	181.1
179.5	180.9
184	181.5
185.5	179.7
164.3	184.5
170.4	182.8
172.2	183.7
173.7	183.5
175.8	183.8
174.2	183
177.5	182.3
178.3	184.3
179.1	184.3
180.4	182.6
182.5	184.5
184.9	184
172.6	185.8
172.2	187
176.1	186.1
178.9	185.6
181.3	187.2
183.7	187
182.6	185.1
164.1	187.7
172.1	188.8
177.6	187.6
180	188.5
184.7	189.2
175.4	190.7
184	193.9
175.4	199
178.2	155.5
183.8	184.5
151.5	165
186.1	185.5
173	182.4
160.4	165.8
167.7	154.7
181.5	183.2
173.1	180.3
165.7	156.7
178.9	171.5
173.7	163.5
157.2	160.7
165.1	161.2
168.2	161.7
151.1	162.4
159.5	162.4
162.2	162.4
164	162.8
166.6	164.3
168.4	163.5
179.2	162.3
157.8	164.7
163.5	165.9
163.5	165.7
164.9	166.3
165.9	165.5
165.5	166
167.9	166.6
167.8	164.3
171.2	164.5
172.3	166.5
178.5	166.2
160.5	169
161.7	166.9
162.9	168
164.4	168.3
165.5	169.1
167.5	168.7
166.8	168.9
167.5	168.3
171	168.7
169.4	168.3
169.1	168
169.7	169
173.3	168.5
171.5	167.9
173.8	167.3
175.5	166.9
179.9	167.9
156.7	171.6
160.1	171.3
163.4	170.2
162.3	170.7
166.3	170.7
164.4	171.2
164.2	171.3
171.4	173.2
169.6	159.4
165.1	168.5
176.2	166.9
161.8	173.6
164.2	171.5
167.6	170.8
167.6	170.7
168.9	171.3
168.3	170
166.8	171.9
169.8	170.1
169.5	169.5
169	169.5
170.3	171.3
170.3	170
171.6	171.4
171.7	170
171.5	170.3
173	170
174.2	170.1
174.1	170.6
175.8	171.5
177.2	171.5
177.6	170.9
179.1	171.6
159.6	172.1
160.6	173
163.7	174
163.4	174.2
164.4	172.4
164.4	174.3
167.6	173.2
166.7	173.4
167.2	173.1
167.3	173.2
169.2	173.1
169.6	174.3
169.6	173.6
170.7	174.4
170.4	174
170	172
172.8	172.6
172.7	172.1
173.4	173
173.4	174.4
173.3	173.3
174.1	173.2
174	173.1
175.6	173.1
175.8	173
176.1	174.1
176.3	173.7
178.4	173.2
177	172.1
179.1	172.5
181.1	173.4
183.4	173.6
183.7	173.4
159.8	176.7
162.4	174.5
164.1	175.1
166.3	174.7
167.3	175.4
168.4	175.2
167.1	175.2
168.9	174.6
171	176.5
171.2	175.5
170.3	175.4
173.9	176.8
172	176.2
172.9	175.7
171.7	174.8
172.2	175.1
175.9	176.5
175.4	176.7
174.5	176.2
175.3	176.7
175.1	176.2
174.8	175.1
177.6	174.5
178.9	175.9
177.7	174.6
177.2	174.8
181.3	176.5
180.5	177
184.8	176.9
165.8	179
167.7	177.8
166.4	179.4
166.7	179.1
167.4	177.7
170.5	177.6
169.9	179
172.6	177.6
172	177.1
171.6	179.4
172.6	178.3
174.8	178.5
176.4	178.3
174.1	179.1
175.5	179.1
179	178.4
177.6	177.8
177.9	178.4
176.7	178.3
180.4	177.7
179.4	178.7
181.5	178.8
181.9	178.3
187.6	178.4
165.1	179.7
168.4	181.6
167.3	181.4
169.8	180.9
170.6	180
172.9	181
171.6	181.4
171.8	181
176.3	180.7
174.9	180.9
175.5	180.3
177.3	181.2
177.8	180.9
176.7	181.9
178.4	181
179.5	181.7
180	180.2
184	181.7
185.5	180.5
189	180
171.2	184.6
169	182.3
172.8	184.5
174.8	184.1
176.1	182.6
178.7	183.3
178.2	184.3
179.9	183.7
179.6	183.1
183.8	183.7
183.8	183
170.6	184.8
172.3	184.9
175	186.7
178.8	187.2
180.8	184.9
181.4	186.5
182.1	185.5
184.4	185.9
171.6	189.2
174.1	187.5
180.2	187.5
182.9	187.5
190.9	187.5
185.6	192
177.6	196.2
166.5	152.5
184.3	195.1
183.3	169.5
160.6	149.3
186.1	172.4
167.2	155.1
172	151.9
170.2	179.7
181.2	173.4
182.3	176
179.7	176
178.6	170.2
